welcome.started,welcome.stopped,intro_key.keys,intro_key.rt,intro_key.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,instruction.started,instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.duration,press_space.started,press_space.stopped,press_space_cont.keys,press_space_cont.rt,press_space_cont.duration,practice_trial.started,practice_trial.stopped,key_pract.keys,key_pract.rt,key_pract.duration,too_slow_practice.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,face,object,transition.started,transition.stopped,trial.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,too_slow_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,too_slow_resp.rt,too_slow_resp.duration,end.started,end.stopped,space_to_exit.keys,space_to_exit.rt,space_to_exit.duration
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,71.9412,72.2912,space,0.3359,,,,,,,,,,,,,stimuli/w02.bmp,stimuli/t3.bmp,,,72.2913,73.1262,q,0.4274,,,0,36,36,103,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,73.1266,73.4936,space,0.3512,,,,,,,,,,,,,stimuli/b03.bmp,stimuli/t3.bmp,,,73.4937,74.3781,q,0.4674,,,0,37,37,98,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,74.3786,74.7788,space,0.3943,,,,,,,,,,,,,stimuli/w01.bmp,stimuli/t6.bmp,,,74.7788,75.5637,q,0.3687,,,0,38,38,138,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,75.5642,75.9482,space,0.375,,,,,,,,,,,,,stimuli/b03.bmp,stimuli/g1.bmp,,,75.9483,76.6987,p,0.3217,,,0,39,39,2,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,76.6991,77.2332,space,0.5236,,,,,,,,,,,,,stimuli/w01.bmp,stimuli/t2.bmp,,,77.2332,79.0864,,,,space,0,40,40,90,1,0.9372,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,79.0868,80.589,space,1.4959,,,,,,,,,,,,,stimuli/b04.bmp,stimuli/t3.bmp,,,80.589,81.3906,q,0.3871,,,0,41,41,99,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,81.3912,81.7583,space,0.362,,,,,,,,,,,,,stimuli/b04.bmp,stimuli/g5.bmp,,,81.7583,82.5424,p,0.3737,,,0,42,42,51,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,82.5429,82.9598,space,0.4096,,,,,,,,,,,,,stimuli/b05.bmp,stimuli/t6.bmp,,,82.9598,83.661,p,0.2884,,,0,43,43,136,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,83.6617,84.1787,space,0.5011,,,,,,,,,,,,,stimuli/b02.bmp,stimuli/g2.bmp,,,84.1787,84.9297,p,0.3403,,,0,44,44,13,1,,,,,,,
,,,,,798436,001,2023-10-23_19h29.14.311,psychopy project,2023.2.3,Win32,60.33910577,,,,,,84.9302,85.3975,space,0.4547,,,,,,,,,,,,,stimuli/b01.bmp,stimuli/g5.bmp,,,85.3976,86.2487,p,0.4433,,,0,45,45,48,1,,,,,,,
