welcome.started,welcome.stopped,intro_key.keys,intro_key.rt,intro_key.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,instruction.started,instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.duration,press_space.started,press_space.stopped,press_space_cont.keys,press_space_cont.rt,press_space_cont.duration,practice_trial.started,practice_trial.stopped,key_pract.keys,key_pract.rt,key_pract.duration,too_slow_practice.keys,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,face,object,too_slow_practice.rt,too_slow_practice.duration,transition.started,transition.stopped,press_space_cont_2.keys,press_space_cont_2.rt,press_space_cont_2.duration,trial.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,too_slow_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,too_slow_resp.rt,too_slow_resp.duration,end.started,end.stopped,space_to_exit.keys,space_to_exit.rt,space_to_exit.duration
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,105.646,105.979,space,0.3223,,,,,,,,,,,,,stimuli/b01.bmp,stimuli/g5.bmp,,,,,,,,105.9791,106.7122,p,0.3067,,,0,16,16,48,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,106.7128,107.0956,space,0.3734,,,,,,,,,,,,,stimuli/b03.bmp,stimuli/t4.bmp,,,,,,,,107.0956,107.8622,q,0.3348,,,0,17,17,110,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,107.8626,108.196,space,0.3268,,,,,,,,,,,,,stimuli/w03.bmp,stimuli/t1.bmp,,,,,,,,108.196,108.9621,q,0.3451,,,0,18,18,80,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,108.9626,109.2457,space,0.2714,,,,,,,,,,,,,stimuli/w01.bmp,stimuli/g1.bmp,,,,,,,,109.2459,110.0118,p,0.3379,,,0,19,19,6,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,110.0123,110.3125,space,0.2863,,,,,,,,,,,,,stimuli/w06.bmp,stimuli/t6.bmp,,,,,,,,110.3126,111.1949,q,0.4542,,,0,20,20,143,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,111.1954,111.4126,space,0.2126,,,,,,,,,,,,,stimuli/b02.bmp,stimuli/g2.bmp,,,,,,,,111.4126,112.2115,p,0.3766,,,0,21,21,13,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,112.2119,112.5282,space,0.3022,,,,,,,,,,,,,stimuli/b06.bmp,stimuli/g2.bmp,,,,,,,,112.5282,113.1946,p,0.2357,,,0,22,22,17,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,113.195,113.5285,space,0.3263,,,,,,,,,,,,,stimuli/w05.bmp,stimuli/g3.bmp,,,,,,,,113.5285,114.1616,p,0.2109,,,0,23,23,34,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,114.1622,114.528,space,0.3604,,,,,,,,,,,,,stimuli/b05.bmp,stimuli/t4.bmp,,,,,,,,114.528,115.1444,p,0.1845,,,0,24,24,112,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,115.1448,115.6943,space,0.5425,,,,,,,,,,,,,stimuli/w04.bmp,stimuli/t4.bmp,,,,,,,,115.6944,116.4277,p,0.3039,,,0,25,25,117,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,116.4281,116.944,space,0.5097,,,,,,,,,,,,,stimuli/b04.bmp,stimuli/g6.bmp,,,,,,,,116.9441,117.794,p,0.4181,,,0,26,26,63,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,117.7944,118.4117,space,0.613,,,,,,,,,,,,,stimuli/w06.bmp,stimuli/g3.bmp,,,,,,,,118.4117,119.2606,p,0.4171,,,0,27,27,35,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,119.261,119.7941,space,0.52,,,,,,,,,,,,,stimuli/b05.bmp,stimuli/t2.bmp,,,,,,,,119.7941,120.4477,q,0.2205,,,0,28,28,88,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,120.4481,122.0936,space,1.6303,,,,,,,,,,,,,stimuli/b05.bmp,stimuli/t1.bmp,,,,,,,,122.0937,122.9099,q,0.3852,,,0,29,29,76,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,122.9103,123.3435,space,0.4172,,,,,,,,,,,,,stimuli/w05.bmp,stimuli/t5.bmp,,,,,,,,123.3435,124.0937,p,0.3172,,,0,30,30,130,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,124.0942,124.7266,space,0.6277,,,,,,,,,,,,,stimuli/b01.bmp,stimuli/t6.bmp,,,,,,,,124.7267,125.5431,q,0.3935,,,0,31,31,132,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,125.5436,125.9431,space,0.3896,,,,,,,,,,,,,stimuli/b06.bmp,stimuli/t4.bmp,,,,,,,,125.9432,126.6761,q,0.3055,,,0,32,32,113,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,126.6765,127.0429,space,0.3554,,,,,,,,,,,,,stimuli/w01.bmp,stimuli/g6.bmp,,,,,,,,127.043,127.8624,p,0.385,,,0,33,33,66,1,,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,127.8628,128.2761,space,0.4057,,,,,,,,,,,,,stimuli/w05.bmp,stimuli/t4.bmp,,,,,,,,128.2762,129.9264,,,,space,0,34,34,118,1,0.7272,,,,,,
,,,,,927339,001,2023-10-25_14h54.51.507,psychopy project,2023.2.3,Win32,60.03842459,,,,,,129.9269,130.5772,space,0.6448,,,,,,,,,,,,,stimuli/w01.bmp,stimuli/t2.bmp,,,,,,,,130.5772,131.2755,q,0.2738,,,0,35,35,90,1,,,,,,,
